[2025-06-10 19:31:00,672] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_001.wav (язык: ru)
[2025-06-10 19:31:07,535] INFO inference.views - Обработка чанка 3/5: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_002.wav
[2025-06-10 19:31:07,535] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_002.wav (язык: ru)
[2025-06-10 19:31:14,239] INFO inference.views - Обработка чанка 4/5: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_003.wav
[2025-06-10 19:31:14,239] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_003.wav (язык: ru)
[2025-06-10 19:31:20,605] INFO inference.views - Обработка чанка 5/5: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_004.wav
[2025-06-10 19:31:20,605] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_oQrICSG_converted_chunk_004.wav (язык: ru)
[2025-06-10 19:31:25,875] INFO inference.views - Обработка завершена: модель=whisper, время обработки=37.63 сек
[2025-06-10 19:46:31,490] INFO django.utils.autoreload - D:\ВКР\project\asr_project\inference\services\recognize_wav2vec.py changed, reloading.
[2025-06-10 19:47:01,268] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 19:47:01,268] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 19:47:01,985] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 19:47:01,985] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 19:47:02,199] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 19:47:02,212] INFO inference.apps - Прогрев Whisper...
[2025-06-10 19:47:02,213] INFO inference.services.recognize_whisper - Распознавание Whisper: media/warmup.wav (язык: ru)
[2025-06-10 19:47:07,124] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 19:47:07,124] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 19:47:08,265] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 19:47:08,299] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 19:47:20,483] INFO django.utils.autoreload - D:\ВКР\project\asr_project\inference\services\recognize_whisper.py changed, reloading.
[2025-06-10 19:47:52,541] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 19:47:52,541] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 19:47:54,091] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 19:47:54,091] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 19:47:54,576] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 19:47:54,592] INFO inference.apps - Прогрев Whisper...
[2025-06-10 19:47:54,592] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 19:48:02,356] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 19:48:02,372] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 19:48:04,125] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 19:48:04,190] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 19:49:50,445] INFO django.utils.autoreload - D:\ВКР\project\asr_project\inference\services\preprocess.py changed, reloading.
[2025-06-10 19:50:23,922] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 19:50:23,922] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 19:50:25,474] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 19:50:25,474] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 19:50:25,921] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 19:50:25,944] INFO inference.apps - Прогрев Whisper...
[2025-06-10 19:50:25,944] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 19:50:33,894] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 19:50:33,894] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 19:50:35,561] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 19:50:35,613] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 20:01:06,669] INFO django.utils.autoreload - D:\ВКР\project\asr_project\inference\views.py changed, reloading.
[2025-06-10 20:01:31,958] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 20:01:31,958] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 20:01:32,675] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 20:01:32,675] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 20:01:32,920] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 20:01:32,931] INFO inference.apps - Прогрев Whisper...
[2025-06-10 20:01:32,931] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 20:01:38,002] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 20:01:38,004] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 20:01:39,035] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 20:01:39,063] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 20:02:08,102] INFO django.utils.autoreload - D:\ВКР\project\asr_project\inference\views.py changed, reloading.
[2025-06-10 20:02:36,554] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 20:02:36,554] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 20:02:38,075] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 20:02:38,075] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 20:02:38,526] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 20:02:38,537] INFO inference.apps - Прогрев Whisper...
[2025-06-10 20:02:38,537] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 20:02:46,778] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 20:02:46,778] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 20:02:48,551] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 20:02:48,605] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 20:16:22,117] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:16:22,137] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:16:25,070] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:17:02,214] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:20:27,766] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 20:20:27,766] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 20:20:28,542] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 20:20:28,542] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 20:20:28,750] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 20:20:28,764] INFO inference.apps - Прогрев Whisper...
[2025-06-10 20:20:28,764] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 20:20:33,965] INFO inference.apps - Прогрев Wav2Vec2...
